Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=4, test_batch_size=4, epochs=2, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
  epoch 1, batch 4640, loss 3.051110
  epoch 1, batch 4680, loss 2.369208
  epoch 1, batch 4720, loss 3.345815
  epoch 1, batch 4760, loss 2.592630
  epoch 1, batch 4800, loss 2.633300
  epoch 1, batch 4840, loss 2.508137
  epoch 1, batch 4880, loss 3.347784
  epoch 1, batch 4920, loss 2.618243
  epoch 1, batch 4960, loss 3.930356
  epoch 1, batch 5000, loss 3.099275
  epoch 1, batch 5040, loss 2.669217
  epoch 1, batch 5080, loss 2.509251
  epoch 1, batch 5120, loss 2.306831
  epoch 1, batch 5160, loss 3.610436
  epoch 1, batch 5200, loss 2.754841
  epoch 1, batch 5240, loss 2.913150
  epoch 1, batch 5280, loss 2.520029
  epoch 1, batch 5320, loss 2.521940
  epoch 1, batch 5360, loss 3.754403
  epoch 1, batch 5400, loss 2.266186
  epoch 1, batch 5440, loss 3.183562
  epoch 1, batch 5480, loss 2.781871
  epoch 1, batch 5520, loss 2.856552
  epoch 1, batch 5560, loss 2.679860
  epoch 1, batch 5600, loss 2.583038
  epoch 1, batch 5640, loss 2.572304
  epoch 1, batch 5680, loss 2.923486
  epoch 1, batch 5720, loss 3.476170
  epoch 1, batch 5760, loss 2.683262
  epoch 1, batch 5800, loss 2.226070
  epoch 1, batch 5840, loss 3.074647
  epoch 1, batch 5880, loss 2.023756
  epoch 1, batch 5920, loss 2.088352
  epoch 1, batch 5960, loss 3.343297
  epoch 1, batch 6000, loss 2.524904
  epoch 1, batch 6040, loss 3.455226
  epoch 1, batch 6080, loss 3.426990
  epoch 1, batch 6120, loss 2.088374
  epoch 1, batch 6160, loss 3.247217
  epoch 1, batch 6200, loss 3.556509
  epoch 1, batch 6240, loss 2.602860
  epoch 1, batch 6280, loss 3.005035
  epoch 1, batch 6320, loss 2.632245
  epoch 1, batch 6360, loss 1.955456
  epoch 1, batch 6400, loss 2.539499
  epoch 1, batch 6440, loss 2.605546
  epoch 1, batch 6480, loss 3.218801
  epoch 1, batch 6520, loss 3.221726
  epoch 1, batch 6560, loss 2.797095
  epoch 1, batch 6600, loss 3.280713
  epoch 1, batch 6640, loss 3.170829
  epoch 1, batch 6680, loss 3.750496
  epoch 1, batch 6720, loss 3.443667
  epoch 1, batch 6760, loss 3.515871
  epoch 1, batch 6800, loss 2.740856
  epoch 1, batch 6840, loss 2.781751
  epoch 1, batch 6880, loss 2.599625
  epoch 1, batch 6920, loss 3.200925
  epoch 1, batch 6960, loss 2.674491
  epoch 1, batch 7000, loss 3.837448
  epoch 1, batch 7040, loss 2.942300
  epoch 1, batch 7080, loss 2.803149
  epoch 1, batch 7120, loss 2.259477
  epoch 1, batch 7160, loss 2.724202
  epoch 1, batch 7200, loss 2.610204
  epoch 1, batch 7240, loss 3.141338
  epoch 1, batch 7280, loss 2.325968
  epoch 1, batch 7320, loss 3.112554
  epoch 1, batch 7360, loss 2.975291
  epoch 1, batch 7400, loss 3.098638
  epoch 1, batch 7440, loss 4.024538
  epoch 1, batch 7480, loss 2.995679
  epoch 1, batch 7520, loss 3.569026
  epoch 1, batch 7560, loss 2.910784
  epoch 1, batch 7600, loss 2.919966
  epoch 1, batch 7640, loss 3.561788
  epoch 1, batch 7680, loss 2.961172
  epoch 1, batch 7720, loss 3.240690
  epoch 1, batch 7760, loss 2.598195
  epoch 1, batch 7800, loss 2.941576
  epoch 1, batch 7840, loss 3.015525
  epoch 1, batch 7880, loss 3.051275
  epoch 1, batch 7920, loss 2.564332
  epoch 1, batch 7960, loss 2.931587
  epoch 1, batch 8000, loss 3.241085
  epoch 1, batch 8040, loss 2.397491
  epoch 1, batch 8080, loss 3.688008
  epoch 1, batch 8120, loss 2.457585
  epoch 1, batch 8160, loss 3.538270
  epoch 1, batch 8200, loss 3.194594
  epoch 1, batch 8240, loss 2.934129
  epoch 1, batch 8280, loss 2.849102
  epoch 1, batch 8320, loss 2.596535
  epoch 1, batch 8360, loss 3.027043
